Vp,Vs,Rho_n,Lithology
3045.6,1595.7,2109.1205853328656,sandstone
3000.6,1517.1,2090.3420131307503,sandstone
3363.6,2041.5,2131.9899820207106,sandstone
3195.3,1606.2,2184.9392333485707,sandstone
4237.5,2448.6,2472.2307675893594,sandstone
4319.1,2438.7,2458.959707947306,sandstone
4533.0,2726.7,2397.1364341499784,sandstone
3538.5,2085.0,2047.3621307528808,sandstone
3524.7,2015.4,2210.528783243676,sandstone
3565.2,2080.8,2141.620217448343,sandstone
3442.8,2117.7,2194.5843621625027,sandstone
3352.2,1960.8,2080.5501425324846,sandstone
3340.2,1819.2,2158.1717550590038,sandstone
3318.9,2092.8,2191.4936709153862,sandstone
4392.0,2887.0,2178.400404536551,sandstone
3380.1,1712.4,2007.898143373988,sandstone
3085.2,1758.0,2115.69860313968,sandstone
3617.1,2107.8,2187.030778460915,sandstone
5406.0,3455.0,2115.2518624501336,sandstone
3620.7,2157.3,2089.8801708473857,sandstone
4017.0,2642.1,2474.6606719901524,sandstone
3400.5,2148.6,2132.7006355943868,sandstone
4349.4,2600.4,2431.952949959057,sandstone
3045.6,1734.6,2060.486286257234,sandstone
3206.7,1627.5,2145.8217304211817,sandstone
3096.6,1960.8,2110.1461248325154,sandstone
4541.4,2733.0,2430.3765278187384,sandstone
3019.5,1595.7,2071.602853993741,sandstone
3113.4,1890.3,2079.68651896638,sandstone
4364.7,2606.1,2397.504773707147,sandstone
4558.2,2700.0,2418.536611426539,sandstone
3155.1,2013.3,2191.9038371849147,sandstone
3361.5,2025.6,2081.9428142273014,sandstone
3627.9,2373.3,2408.352556144572,sandstone
3596.1,2018.7,2136.32943282882,sandstone
3534.3,2373.3,2379.9303806516496,sandstone
3381.9,2044.8,2150.010960570655,sandstone
3149.7,1645.8,2132.977829438585,sandstone
3012.3,1709.4,2128.9406987865987,sandstone
3000.6,1509.9,2078.276850355692,sandstone
3252.9,1627.5,2192.9681547144646,sandstone
4166.1,2642.1,2430.2814333853157,sandstone
3675.9,2111.4,2137.4188772748907,sandstone
3836.1,2541.6,2398.0405028281702,sandstone
3343.5,2015.7,2071.9835478721343,sandstone
3020.1,1528.8,2059.4709201648675,sandstone
4237.5,2419.8,2443.521594236412,sandstone
3991.2,2407.8,2400.851605044777,sandstone
3050.7,1953.3,2130.3759236559617,sandstone
3047.7,1692.9,2081.0903541463013,sandstone
3207.0,1924.8,2078.054208248534,sandstone
4223.1,2549.4,2350.5812204281565,sandstone
4319.1,2578.8,2369.197183113138,sandstone
4575.0,2826.6,2439.491983039617,sandstone
3690.6,2184.0,2082.3469768535424,sandstone
3437.1,1876.8,2204.7143649322925,sandstone
5917.0,3665.0,2164.875616004003,sandstone
3190.8,2075.4,2039.452744071549,sandstone
3579.0,2140.8,2119.177943427864,sandstone
4467.6,2631.0,2410.567261069309,sandstone
4411.5,2813.7,2426.55835973052,sandstone
4443.3,2846.1,2462.749792147619,sandstone
4600.5,2742.0,2453.527664334097,sandstone
4017.0,2631.0,2411.769349861345,sandstone
4451.4,2679.6,2399.894157152193,sandstone
3292.8,1617.6,2165.4079307960724,sandstone
3053.1,1626.0,2072.3598990256696,sandstone
3495.0,1887.0,2128.8937951678126,sandstone
4395.9,2839.8,2451.834584505525,sandstone
4259.4,2763.3,2408.936721255081,sandstone
3084.9,1917.3,2125.930163927085,sandstone
3435.9,2052.3,2113.8810101167032,sandstone
3674.4,2178.3,2125.469000400561,sandstone
3585.9,2067.3,2181.295950857206,sandstone
4274.1,2757.3,2388.399207326416,sandstone
3423.9,2150.7,2210.6601627060445,sandstone
3069.6,1848.9,2210.1729003654764,sandstone
4411.5,2820.3,2386.0430545469158,sandstone
3365.7,1923.3,2026.9796125529267,sandstone
3456.9,2106.9,2209.730399826205,sandstone
4388.1,2606.1,2430.0051512938785,sandstone
4244.7,2769.6,2473.845082973866,sandstone
3451.5,1868.4,2151.2849755281754,sandstone
5232.0,3083.0,2127.769986465863,sandstone
3437.1,1860.0,2207.6253573534923,sandstone
3142.8,2031.9,2109.087910485768,sandstone
3316.8,1890.0,2053.1560019377907,sandstone
4788.0,2954.0,2134.0646294085627,sandstone
3652.8,2099.1,2088.5758617071456,sandstone
3606.6,2074.2,2184.122834834668,sandstone
3520.5,2169.3,2146.3842347071536,sandstone
3445.5,2315.4,2445.334095340023,sandstone
3330.0,1935.0,2084.633372862231,sandstone
4110.6,2642.1,2440.458790462132,sandstone
3252.9,1627.5,2166.2202482340813,sandstone
3376.5,1848.9,2206.193841294488,sandstone
3226.2,1947.9,2115.1836119463987,sandstone
3062.1,1961.1,2175.153717802183,sandstone
3685.2,2142.6,2073.7493174081465,sandstone
3188.1,1741.5,2015.5767233515521,sandstone
4427.4,2733.0,2351.9721769756648,sandstone
3481.2,2198.1,2197.4740368134485,sandstone
3111.6,1521.3,2060.5531405851184,sandstone
4443.3,2785.2,2430.751090306304,sandstone
3372.9,2148.6,2208.8304428556844,sandstone
4357.2,2720.7,2385.290316946254,sandstone
3250.0,1780.0,2425.7600814076245,sandstone
5850.0,3379.0,2096.172194833788,sandstone
4524.6,2726.7,2457.0678805641905,sandstone
4187.4,2438.7,2400.6188905058325,sandstone
3053.7,1542.3,2099.491486479487,sandstone
3269.4,1966.8,2066.5738741872265,sandstone
4289.1,2541.6,2403.1473677573363,sandstone
3643.8,2111.4,2133.257599038483,sandstone
3854.1,2400.9,2417.3564057297995,sandstone
4056.6,2389.2,2467.3356192186293,sandstone
4467.6,2685.3,2466.655868437589,sandstone
3792.0,2122.5,2056.404793447776,sandstone
4541.4,2833.2,2356.358287394065,sandstone
4459.5,2794.8,2419.081856072535,sandstone
3729.3,2094.0,2094.429362149649,sandstone
3081.3,1761.6,2070.4299960300064,sandstone
3289.0,2182.0,2076.7107050064483,sandstone
3479.1,2088.6,2062.6721444054087,sandstone
3481.2,2192.1,2174.2281959604775,sandstone
3196.2,1746.3,2069.8746394212562,sandstone
4475.4,2682.3,2474.515717311987,sandstone
4166.1,2480.4,2468.84375617906,sandstone
3235.8,2103.3,2102.4853050548368,sandstone
3714.9,2391.6,2378.540791657586,sandstone
3606.6,2104.2,2132.899798471989,sandstone
4259.4,2636.7,2366.875293712721,sandstone
3091.5,1610.1,2092.075398238277,sandstone
3028.5,1893.9,2149.24916320459,sandstone
4524.6,2807.4,2409.534882500817,sandstone
3341.1,2061.6,2142.465915748065,sandstone
3290.7,1924.8,2038.4522878988544,sandstone
3740.7,2142.6,2096.486019291869,sandstone
3581.1,2251.5,2155.0099611867868,sandstone
5993.0,2875.0,2086.56191575662,sandstone
4700.0,2872.0,2145.9705745748597,sandstone
4341.9,2706.0,2442.8306002403447,sandstone
3138.6,1629.3,2134.0895593148784,sandstone
3495.9,2198.1,2192.7576912666877,sandstone
3215.1,1874.4,2043.0842621242496,sandstone
3003.3,1467.3,2175.294380341836,sandstone
3540.0,2015.4,2153.0333346483744,sandstone
3215.1,1921.8,2077.807183212554,sandstone
3088.2,1518.6,2011.3497817099594,sandstone
3175.8,1563.6,2017.3667005489874,sandstone
4491.9,2754.3,2441.111916739947,sandstone
5907.0,3592.0,2097.9054877045396,sandstone
3518.4,2102.7,2105.4095877547575,sandstone
4643.7,2869.2,2349.1267694258263,sandstone
4524.6,2691.3,2415.1458977323473,sandstone
4388.1,2622.6,2470.840653697337,sandstone
3150.9,1870.5,2113.9985657945094,sandstone
3465.9,1840.8,2113.422938752818,sandstone
4592.1,2856.0,2435.8028587204612,sandstone
4991.0,2880.0,2096.2876762789224,sandstone
4083.6,2422.2,2448.702490455231,sandstone
3523.5,2100.9,2132.022210842822,sandstone
3089.1,1823.1,2048.240253189948,sandstone
4388.1,2608.8,2431.736591026673,sandstone
3068.4,1588.5,2111.437446514225,sandstone
3227.4,1726.8,2173.1039183025523,sandstone
4304.1,2745.0,2406.591575198381,sandstone
3049.5,1625.1,2128.402391978974,sandstone
4549.8,2775.9,2371.863709173439,sandstone
3290.1,1608.6,2082.139979994148,sandstone
3082.2,1500.0,2141.271228187689,sandstone
3187.8,1465.8,2200.070976470766,sandstone
4626.3,2846.1,2422.997133924118,sandstone
3086.4,1489.2,2089.256116949589,sandstone
3321.3,1979.1,2093.6877336634343,sandstone
3605.1,2113.5,2132.020761949524,sandstone
3485.4,2028.6,2189.351205308606,sandstone
3388.2,1973.1,2038.839719773028,sandstone
3340.2,1832.7,2153.508582859168,sandstone
3933.9,2366.4,2349.794797591745,sandstone
3786.0,2172.6,2115.879038532829,sandstone
4166.1,2536.5,2377.934570389311,sandstone
3729.3,2174.4,2061.1527722948927,sandstone
3298.8,1684.2,2060.231904154285,sandstone
4459.5,2625.3,2402.5263569882445,sandstone
3135.9,1459.5,2163.213885081637,sandstone
4070.1,2647.8,2470.015228239162,sandstone
4110.6,2498.1,2425.301012035868,sandstone
3290.7,1875.9,2109.3284570802293,sandstone
3878.4,2400.9,2468.363319909029,sandstone
3863.0,2406.0,2109.8845698776017,sandstone
4319.1,2745.0,2425.231094715127,sandstone
3626.1,2118.9,2054.8021195719925,sandstone
4541.4,2836.5,2364.658328087983,sandstone
3643.8,2077.8,2113.0096230946,sandstone
3768.0,2648.0,2116.223464767337,sandstone
3560.1,2070.9,2185.7369421700573,sandstone
4223.1,2431.5,2467.37895700568,sandstone
3610.2,2155.5,2121.265643052756,sandstone
3030.3,1475.4,2200.619988682245,sandstone
4953.660011,2957.260132,2716.638630266801,shale
3444.658279,2318.002224,2695.5084606935447,shale
3507.803917,2218.52994,2561.015922557937,shale
2988.889933,1633.3299880000006,2564.4066530072823,shale
3642.0,2221.0,2419.447754657335,shale
4987.068176,2963.4923940000012,2699.4527311986817,shale
4395.760536,2587.127209,2543.268745691404,shale
3819.020748,2521.0464,2577.656723311537,shale
3033.329964,1633.3299880000006,2605.834169690365,shale
2402.738333,1447.172165,2387.896562108249,shale
2202.0,969.0,2292.802788748693,shale
3893.102884,2444.700956,2548.6209586847303,shale
2509.11665,1487.700939,2324.628070362844,shale
3545.0,1830.0,2536.7311481884367,shale
3726.751328,2377.921343,2599.495209727109,shale
3750.621796,2458.61268,2690.8247748891145,shale
3965.976238,2627.777576,2626.5873657166144,shale
5258.46,2262.08,2574.2031676380866,shale
3669.0,1958.0,2573.4980668699845,shale
4408.833504,2687.6978870000007,2645.971885600142,shale
3048.0,1490.0,2377.033149038862,shale
1490.711927,1084.652305,2259.826927159395,shale
5191.0,3024.0,2734.5167894690367,shale
4404.0,2582.0,2309.5990991656786,shale
3850.0,2400.0,2495.447522894479,shale
3238.066435,2252.693176,2649.9338396226003,shale
4722.784042,2738.61289,2526.3606479288887,shale
3787.166357,2344.783306,2491.191795310607,shale
4484.6339229999985,2676.598549,2641.335261277807,shale
5069.825172,2944.804907,2545.8969864038863,shale
3044.440031,1664.809942,2614.1916060033545,shale
4319.342136,2627.353191,2726.357085337926,shale
5320.42,2276.11,2594.066438313689,shale
2888.890028000001,1624.070048,2564.961317983889,shale
3921.541214,2395.214319,2552.112853427431,shale
3792.983055,2276.750803,2599.985068831043,shale
2290.840864,1340.9656289999998,2275.350363487649,shale
2860.0,1562.0,2279.9005251028,shale
2980.0,1650.0,2065.811167310381,shale
3235.11219,1572.615147,2518.229826496149,shale
3442.093372,1749.4659420000007,2444.880245504812,shale
2740.856648,1378.999353,2464.752833961667,shale
3198.837042,1603.308439,2401.3970137254296,shale
4792.572498,2877.716303,2548.366241609118,shale
4024.830818,2489.831686,2759.5699633540253,shale
4130.0,2380.0,2635.498659167328,shale
3854.939461,2361.713171,2528.8584337360826,shale
3043.0,1342.0,2479.56968029487,shale
4993.92,1943.88,2507.0222155434462,shale
3024.070025,1644.440055,2634.9211307847554,shale
2844.439983,1566.669941,2634.3677927631093,shale
2532.0,1492.0,2223.313060199024,shale
3736.0,1996.0,2570.006883902054,shale
3119.0,2020.0,2355.303673070947,shale
3794.0,2074.0,2541.7046344650075,shale
3476.0,1863.0,2637.656935396815,shale
3117.888212000001,1531.561017,2501.296286192323,shale
4773.766518,2700.154781,2546.2403899813266,shale
3144.439936,1655.560017,2613.243463904736,shale
3001.0,1401.0,2531.1662531309616,shale
2809.0,1936.0,2343.5969532602508,shale
4265.9020420000015,2660.337687,2580.978536855233,shale
4721.0,2890.0,2650.770665044395,shale
3428.0,2127.0,2418.4607118910644,shale
3728.709459,2495.998383,2635.3609024553093,shale
3900.0,2600.0,2646.92396182471,shale
5244.0,3040.0,2754.996976783321,shale
3373.0,2124.0,2382.6977933150524,shale
4852.295876,2765.728474,2690.985571790436,shale
4151.2012479999985,2555.653572,2683.8199423717865,shale
3380.0,2120.0,2224.389985444109,shale
3853.522778,2579.530478,2644.374797996999,shale
3552.0,1895.0,2595.8612023175447,shale
3737.190008,2048.366308,2595.1481816185565,shale
3837.088347,2391.5596010000004,2713.8710844588118,shale
3879.533529,2288.729191,2540.266305909653,shale
5022.337914,2825.787306,2688.5842875077205,shale
5207.0,3031.0,2773.408492224916,shale
3734.342337,2404.422998,2523.546175651888,shale
3936.0,2382.0,2586.0540478291564,shale
3003.0,1987.0,2406.554456316625,shale
3374.109507,1699.286342,2504.508323391508,shale
2941.366911,1424.32034,2466.663033956172,shale
5217.91,2219.22,2587.766128202243,shale
2879.0,1954.0,2359.897205655601,shale
4664.009571000001,2648.009062,2483.525107058531,shale
4210.0,2520.0,2575.486503286793,shale
3669.515848,2461.585999,2532.139375493731,shale
3066.0,1459.0,2544.030366711518,shale
2409.196138,1402.271271,2269.716519855654,shale
2813.171625,1395.249486,2433.43717288378,shale
3209.0,2048.0,2412.778083709392,shale
3928.0,2055.0,2584.5261400758827,shale
3665.083408,2381.520748,2667.87749410288,shale
3443.0,1721.0,2486.435977802657,shale
3290.0,1860.0,2397.119438262295,shale
5073.0,2998.0,2682.3097545429305,shale
2745.0,1508.0,2321.012104850521,shale
3750.165939,2301.913261,2545.707899873902,shale
3602.0,1928.0,2613.4084453941173,shale
3612.0,2140.0,2469.052332202774,shale
3540.80677,2334.04398,2646.536991816743,shale
3502.23136,2484.325886,2588.337405783298,shale
3077.780008,1711.109996,2622.173181072701,shale
2867.997408,1409.8598960000006,2440.68044172023,shale
4067.380428,2655.875206,2615.2963083879927,shale
3789.063931,2395.613432,2643.0683267028603,shale
3827.327728,2404.422998,2535.7485617541624,shale
3120.0,1520.0,2494.175242287913,shale
3296.0,1660.0,2456.8693401337696,shale
3777.0,2020.0,2615.472133580495,shale
5267.0,3047.0,2807.050886430869,shale
3703.355789,2264.7089960000008,2555.321922495566,shale
3531.0,2307.0,2422.1808682823653,shale
4271.087170000002,2561.737776,2523.880625380875,shale
4876.972675,2736.793518,2473.823702895635,shale
2902.0,1610.0,2151.3029792495445,shale
3436.0,1762.0,2473.831803254808,shale
3466.670036,1877.779961,2615.9726740413143,shale
3510.0,2030.0,2373.354240042797,shale
3360.904932,1686.6191629999994,2359.5803335069663,shale
3720.0,2250.0,2392.4133444441563,shale
3291.0,2076.0,2381.450842661072,shale
4124.915123,2569.917917,2666.386860808825,shale
3537.0,2168.0,2441.533631987586,shale
3314.162254,1620.016217,2493.7916969095318,shale
3214.0,2104.0,2418.5508067945293,shale
4529.0,2703.0,2552.656726362469,shale
3361.0,2103.0,2354.1588231066426,shale
4158.0,1622.0,2587.725864798253,shale
3353.567123000001,1578.86827,2479.113071512001,shale
3522.0,2314.0,2395.6101937949247,shale
2615.0,1571.0,2217.2037549967786,shale
4376.218796,2709.828854,2728.189793777223,shale
4646.150589,2855.692864,2691.3527917303422,shale
3246.0,1706.0,2601.46570353371,shale
2429.502249,1680.15635,2345.1165196528327,shale
3222.822905,1606.200934,2543.3063638457197,shale
4615.839005,2731.791735,2678.980268340329,shale
2530.191422,1494.822502,2335.4860101977665,shale
3392.0,1811.0,2594.364707404517,shale
4921.018124,2785.89201,2659.6142037112672,shale
3081.0,2250.0,2406.3007935866026,shale
3839.385748,2409.195423,2597.642100713232,shale
2933.330059,1555.559993,2637.755713961533,shale
4534.067631,2625.3438,2538.400014510005,shale
4333.960056,2675.492525,2574.8706661279925,shale
3911.908865,2169.936657,2584.758998187872,shale
3774.06168,2360.499144000001,2677.354974510159,shale
4614.006996,2636.877775,2584.020790822455,shale
5181.948662,2829.835415,2539.5937525970435,shale
1672.118664,1144.821405,2337.6129033682323,shale
4212.965488,2584.369659,2758.1948946011626,shale
3080.177784,1347.708464,2419.8381513708496,shale
4410.569668,2629.460573,2609.1219336007234,shale
5172.0,3021.0,2774.986664269791,shale
4173.278332,2638.537407,2549.8436248679363,shale
4451.460362,2750.377417,2680.8628689611874,shale
4224.761009000002,2516.875267000001,2486.4911492213905,shale
3460.0,2000.0,2304.474350247075,shale
3880.0,2453.0,2502.688718896903,shale
3048.0,1490.0,2378.5431564179626,shale
3512.0,2349.0,2495.290824783,shale
5284.0,3058.0,2823.2877330782417,shale
3379.433155,1698.574066,2460.075096553685,shale
3480.0,2175.0,2490.9959781343728,shale
3956.939459,2411.790371,2546.75438732454,shale
3774.891853,2508.9330670000004,2667.1024353651237,shale
3377.0,1490.0,2413.1634246275266,shale
4752.160072,2881.420374,2661.8036547437296,shale
5181.0,3021.0,2803.5910534911877,shale
3870.524645,2535.355568,2602.079711660306,shale
2989.703894,2235.194922,2551.2508794605546,shale
3730.671406,2435.741186,2634.85599513721,shale
2449.137688,1420.602441,2269.422438768905,shale
3902.359009,2426.659346,2642.62435338608,shale
2900.000095,1577.780008,2637.5507936436497,shale
3573.994637,2279.322863,2526.1055289716264,shale
5134.899139,2984.333992000001,2564.9209708394114,shale
3214.996576,1462.949514,2420.255870685101,shale
3067.506075,2207.0000170000008,2664.8890850659104,shale
4296.0,2471.0,2692.037615547506,shale
4978.0392649999985,2772.948504,2503.993847431081,shale
3287.508011,1523.3591800000006,2402.08156395227,shale
5180.48,2188.68,2530.844346103685,shale
3441.8400880000013,2117.649902,2607.5486972603007,shale
5159.53,2134.35,2501.602393772761,shale
1694.716096,1123.373032,2272.437648718755,shale
4549.847126,2816.66112,2736.8844515600645,shale
2357.632399,1375.884175,2365.237903228682,shale
2464.704037,1470.468283,2382.6469952257457,shale
4167.0,2432.0,2337.9858497209675,shale
3862.884522,2436.698675,2564.3954208220002,shale
3453.0,2136.0,2392.586042533323,shale
3004.095554,1434.355974,2445.0680800878245,shale
5267.0,3054.0,2781.691251441749,shale
3536.0,2329.0,2421.7737013628603,shale
5092.429161,2845.525503000001,2667.2169124433467,shale
3324.643374,1667.652607,2570.0526959274425,shale
5077.095032,2787.278891,2521.5014854354954,shale
